daily_time_spent,Age,area_income,daily_internet_usage,ad_topic_line,City,is_male,Country,Timestamp,clicked_on_ad,Hour,Day_of_Week,Month,Income_Category,Age_Category,Internet_Usage_Category,Time_Spent_Category
0.617882033,0.380952381,0.730472466,0.916030996,Cloned 5thgeneration orchestration,Wrightburgh,0,Tunisia,3/27/2016 0:53,0,0,6,3,2,1,3,2
0.809620942,0.285714286,0.831375223,0.538745611,Monitored national standardization,West Jodi,1,Nauru,4/4/2016 1:39,0,0.043478261,0,4,3,1,2,3
0.626721061,0.166666667,0.699200315,0.797433103,Organic bottom-line service-desk,Davidton,0,San Marino,3/13/2016 20:35,0,0.869565217,6,3,2,0,3,2
0.70627231,0.238095238,0.623159862,0.854280179,Triple-buffered reciprocal time-frame,West Terrifurt,1,Italy,1/10/2016 2:31,0,0.086956522,6,1,1,0,3,2
0.608023117,0.380952381,0.914567793,0.731323405,Robust logistical utilization,South Manuel,0,Iceland,6/3/2016 3:36,0,0.130434783,4,6,3,1,3,2
0.465578786,0.095238095,0.698828035,0.738346047,Sharable client-driven software,Jamieberg,1,Norway,5/19/2016 14:30,0,0.608695652,3,5,2,0,3,1
0.957164712,0.333333333,0.608602605,0.627073496,Enhanced dedicated support,Brandonstad,0,Myanmar,1/28/2016 20:59,0,0.869565217,3,1,1,1,2,3
0.567737549,0.69047619,0.161812568,0.163336966,Reactive local challenge,Port Jefferybury,1,Australia,3/7/2016 1:40,1,0.043478261,0,3,0,3,0,1
0.7127316,0.261904762,0.837790873,0.706683618,,West Colin,1,Grenada,4/18/2016 9:33,0,0.391304348,0,4,3,1,3,2
0.633690294,0.023809524,0.635927639,0.478508294,Mandatory homogeneous architecture,Ramirezton,1,Ghana,7/11/2016 1:42,0,0.043478261,0,7,1,0,2,2
0.255651878,0.714285714,0.483078809,0.104370989,Centralized neutral neural-net,West Brandonton,0,Qatar,3/16/2016 20:19,1,0.869565217,2,3,0,3,0,0
,0.428571429,0.740506472,0.763349074,Team-oriented grid-enabled Local Area Network,East Theresashire,1,Burundi,5/8/2016 8:10,0,0.347826087,6,5,2,2,3,
0.628420874,0.69047619,0.574765569,0.050490374,Centralized content-based focus group,West Katiefurt,1,Egypt,6/3/2016 1:14,1,0.043478261,4,6,1,3,0,2
0.797552269,,0.576333941,0.662610486,Synergistic fresh-thinking array,North Tara,0,Bosnia and Herzegovina,4/20/2016 21:49,0,0.913043478,2,4,1,,2,3
0.175930648,0.333333333,0.259275321,0.234774186,Grass-roots coherent extranet,West William,0,Barbados,3/24/2016 9:31,1,0.391304348,3,3,0,1,1,0
0.524392317,0.095238095,0.5830924,0.217096501,Persistent demand-driven interface,New Travistown,1,Spain,3/9/2016 3:41,1,0.130434783,2,3,1,0,1,1
0.387387387,0.428571429,0.151788335,0.149110062,Customizable multi-tasking website,West Dylanberg,0,Palestinian Territory,1/30/2016 19:20,1,0.826086957,5,1,0,2,0,1
